"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"Jing wu men","Wei Lo","Wei Lo","Bruce Lee"
"Jingle All the Way","Randy Kornfield","Brian Levant","Arnold Schwarzenegger"
"Jisatsu saakuru"," "," ",""
"Joe Dirt","David Spade","Dennie Gordon","David Spade"
"Joe Somebody","John Shepherd","John Pasquin","Tim Allen"
"Joe's Apartment","John Payson","John Payson","Jerry O'Connell"
"John Q","James Kearns","Nick Cassavetes","Gabriela Oltean"
"Johnny English","William Davies","Peter Howitt","Rowan Atkinson"
"Johnny Mnemonic","William Gibson","Robert Longo","Keanu Reeves"
"Johnson Family Vacation","Earl Jones","Christopher Erskin","Entertainer Cedric"
"Jonah: A VeggieTales Movie","Tim Hodge","Mike Nawrocki","Phil Vischer"
"Josie and the Pussycats","Dan DeCarlo","Harry Elfont","Rachael Cook"
"Joy Ride","J.J. Abrams","John Dahl","Steve Zahn"
"Judge Dredd"," De","Danny Cannon","Sylvester Stallone"
"Judgment at Nuremberg","Montgomery Clift","Stanley Kramer","Spencer Tracy"
"Jui kuen II","Rod Dean","Chia-Liang Liu","Jackie Chan"
"Jumanji","Jonathan Hensleigh","Joe Johnston","Robin Williams"
"The Jungle Book 2","Carter Crocker","Steve Trenbirth","John Goodman"
"The Jungle Book","Mark Geldman","Stephen Sommers","Jason Lee"
"Jungle Fever","Spike Lee","Spike Lee","Wesley Snipes"
"Jurassic Park","Michael Crichton","Steven Spielberg","Sam Neill"
"Jurassic Park III","Peter Buchman","Joe Johnston","Sam Neill"
"The Juror"," Dawes","Brian Gibson","Demi Moore"
"Just Visiting"," "," ",""
"Juwanna Mann"," "," ",""
"K-19: The Widowmaker","Christopher Kyle","Kathryn Bigelow","Sam Spruell"
"K-PAX","Gene Brewer","Iain Softley","Kevin Spacey"
"Kafka","Lem Dobbs","Steven Soderbergh","Jeremy Irons"
"Kagemusha","Masato Ide","Akira Kurosawa","Tatsuya Nakadai"
"Kalifornia","Stephen Levy","Dominic Sena","Brad Pitt"
"Kama Sutra: A Tale of Love","Helena Kriel","Mira Nair","Indira Varma"
"Kangaroo Jack","Steve Bing","David McNally","Jerry O'Connell"
"Kansas City","Robert Altman","Robert Altman","Jennifer Leigh"
"Karakter","Ferdinand Bordewijk","Mike Diem","Jan Decleir"
"Kate & Leopold","James Mangold","James Mangold","Meg Ryan"
"The Keep","Michael Mann","Michael Mann","Scott Glenn"
"Keeping the Faith","Stuart Blumberg","Edward Norton","Ben Stiller"
"The Kentucky Fried Movie","Jim Abrahams","John Landis","Marilyn Joi"
"The Kid","Charles Chaplin","Charles Chaplin","Carl Miller"
"The Kid","Audrey Wells","Jon Turteltaub","Bruce Willis"
"Kids","Harmony Korine","Larry Clark","Leo Fitzpatrick"
"The Kids Are Alright","Jeff Stein","Jeff Stein","Roger Daltrey"
"Kill Bill: Vol. 1","Quentin Tarantino","Quentin Tarantino","Uma Thurman"
"Kill Bill: Vol. 2","Quentin Tarantino","Quentin Tarantino","Vivica Fox"
"Kill Me Again","John Dahl","John Dahl","Pat Mulligan"
"Killer Klowns from Outer Space","Charles Chiodo","Stephen Chiodo","Grant Cramer"
"Killer's Kiss","Stanley Kubrick","Stanley Kubrick","Frank Silvera"
"Killing Me Softly","Sean French","Kaige Chen","Heather Graham"
"Killing Zoe"," "," ",""
"The Killing","Stanley Kubrick","Stanley Kubrick","Sterling Hayden"
"King Arthur","David Franzoni","Antoine Fuqua","Clive Owen"
"King Kong","Merian Cooper","Merian Cooper","Fay Wray"
"King Kong","Merian Cooper","John Guillermin","Jeff Bridges"
"King Solomon's Mines","H. Haggard"," Lee","Richard Chamberlain"
"The King of Comedy"," "," ",""
"King of the Hill","A.E. Hotchner","Steven Soderbergh","Jesse Bradford"
"Kingdom of Heaven","William Monahan","Ridley Scott","Martin Hancock"
"Kingpin","Barry Fanaro","Bobby Farrelly","Woody Harrelson"
"Kinsey","Bill Condon","Bill Condon","Liam Neeson"
"Kiss Me  Stupid","Anna Bonacci","Billy Wilder","Dean Martin"
"Kiss of the Dragon","Luc Besson","Chris Nahon","Jet Li"
"Kiss the Girls","David Klass","Gary Fleder","Morgan Freeman"
