"MOV Cabin Fever (2002)","(u'Pearlstein, Randy', None, None, u' (written by)') ","(u'Roth, Eli', None, None, None)" ",,"(u'Strong, Rider', u'Paul', 1, None) ",
"MOV The Cable Guy (1996)","(u'Holtz Jr., Lou', None, None, u' (written by)')" ","(u'Stiller, Ben', None, None, None)" ",,"(u'Carrey, Jim', u'The Cable Guy', 1, None) ",
"MOV Caddyshack (1980)","(u'Doyle-Murray, Brian', None, None, u' (written by)') ","(u'Ramis, Harold', None, None, None)" ",,"(u'Chase, Chevy', u'Ty Webb', 1, None) ",
"MOV Camelot (1967)","(u'Lerner, Alan Jay', None, None, u' (based on the play "Camelot" book by)') ","(u'Logan, Joshua (I)', None, None, None)" ",,"(u'Harris, Richard (I)', u'King Arthur', 1, None) ",
"MOV Camille (1936)","(u'Akins, Zoe', None, None, u' (screen play)') ","(u'Cukor, George', None, None, None)" ",,"(u'Garbo, Greta', u'Marguerite Gautier', 1, None) ",
"MOV Can't Hardly Wait (1998)","(u'Elfont, Harry', None, None, u' (written by)') ","(u'Elfont, Harry', None, None, None) ",,"(u'Hewitt, Jennifer Love', u'Amanda Beckett', 1, None) ",
"MOV Canadian Bacon (1995)","(u'Moore, Michael (II)', None, None, u' (written by)')" ","(u'Moore, Michael (II)', None, None, None)" ",,"(u'Candy, John', u'Sheriff Bud Boomer', 1, None) ",
"MOV Candyman (1992)","(u'Barker, Clive (I)', None, None, u' (story "The Forbidden")') ","(u'Rose, Bernard', None, None, None)" ",,"(u'Madsen, Virginia', u'Helen Lyle', 1, None) ",
"MOV Cape Fear (1991)","(u'MacDonald, John D.', None, None, u' (novel "The Executioners")') ","(u'Scorsese, Martin', None, None, None)" ",,"(u'De Niro, Robert', u'Max Cady', 1, None) ",
"MOV Capricorn One (1978)","" ","" ",,"" ",
"MOV Captain Blood (1935)","(u'Robinson, Casey (I)', None, None, u' (screen play)') ","(u'Curtiz, Michael', None, None, None)" ",,"(u'Flynn, Errol (I)', u'Peter Blood', 1, None) ",
"MOV Captain Corelli's Mandolin (2001)","" ","" ",,"" ",
"MOV Captains Courageous (1937)","(u'Connelly, Marc (I)', None, None, u' (screen play)') ","(u'Fleming, Victor (I)', None, None, None)" ",,"(u'Bartholomew, Freddie', u'Harvey', 1, None) ",
"MOV Carandiru (2003)","(u'Babenco, Hector', None, None, u' (writer)') ","(u'Babenco, Hector', None, None, None)" ",,"(u'Vasconcelos, Luiz Carlos', u'M
"MOV Carnival of Souls (1962)","(u'Clifford, John (II)', None, None, u' (written by)') ","(u'Harvey, Herk', None, None, None)" ",,"(u'Hilligoss, Candace', u'Mary Henry', 1, None) ",
"MOV Carpool (1996)","(u'Rhymer, Don', None, None, u' (written by)')" ","(u'Hiller, Arthur', None, None, None)" ",,"(u'Arnold, Tom (I)', u'Franklin Laszlo', 1, None) ",
"MOV Carrie (1976)","(u'Cohen, Lawrence D.', None, None, u' (screenplay)') ","(u'De Palma, Brian', None, None, None)" ",,"(u'Spacek, Sissy', u'Carrie', 1, None) ",
"MOV Casablanca (1942)","(u'Alison, Joan', None, None, u' (play)') ","(u'Curtiz, Michael', None, None, None)" ",,"(u'Bogart, Humphrey', u'Rick Blaine', 1, None) ",
"MOV Casino (1995)","(u'Pileggi, Nicholas', None, None, u' (book)') ","(u'Scorsese, Martin', None, None, None)" ",,"(u'De Niro, Robert', u"Sam 'Ace' Rothstein", 1, None) ",
"MOV Casino Royale (1967)","(u'Allen, Woody', None, None, u' (uncredited)') ","(u'Hughes, Ken (I)', None, None, u' (as Kenneth Hughes)') ",,"(u'Sellers, Peter (I)', u'Evelyn Tremble/James Bond 007', 1, None) ",
"MOV Casper (1995)","(u'Oliver, Deanna', None, None, u' (written by)') ","(u'Silberling, Brad', None, None, None)" ",,"(u'Leopardi, Chauncey', u'Nicky', 1, None) ",
"MOV Casshern (2004)","" ","" ",,"" ",
"MOV Cast Away (2000)","(u'Broyles Jr., William', None, None, u' (written by)')" ","(u'Zemeckis, Robert', None, None, None)" ",,"(u'Sanchez, Paul (II)', u'Ramon', 1, None) ",
"MOV Casualties of War (1989)","(u'Lang, Daniel (I)', None, None, u' (book "Casualties of War")') ","(u'De Palma, Brian', None, None, u' (as Brian DePalma)')" ",,"(u'Fox, Michael J. (I)', u'Eriksson', 1, None) ",
"MOV Cat People (1942)","(u'Bodeen, DeWitt', None, None, u' (written by)')" ","(u'Tourneur, Jacques', None, None, None)" ",,"(u'Simon, Simone (I)', u'Irena Dubrovna Reed', 1, None) ",
"MOV Cat People (1982)","(u'Bodeen, DeWitt', None, None, u' (story)') ","(u'Schrader, Paul (I)', None, None, None)" ",,"(u'Kinski, Nastassja', u'Irena Gallier', 1, u' (as Nastassia Kinski)') ",
"MOV The Cat in the Hat (2003)","" ","" ",,"" ",
"MOV Cat on a Hot Tin Roof (1958)","(u'Brooks, Richard (I)', None, None, u' (screenplay)') ","(u'Brooks, Richard (I)', None, None, None)" ",,"(u'Taylor, Elizabeth (I)', u'Maggie Pollitt', 1, None) ",
"MOV Cat's Eye (1985)","(u'King, Stephen (I)', None, None, u' (screenplay)')" ","(u'Teague, Lewis (I)', None, None, None)" ",,"(u'Barrymore, Drew (I)', u'Our Girl/Amanda', 1, None) ",
"MOV Catch Me If You Can (2002)","(u'Abagnale Jr., Frank', None, None, u' (book "Catch Me If You Can: The Amazing True Story of the Youngest and Most Daring Con Man in the History of Fun and Profit")') ","(u'Spielberg, Steven', None, None, None)" ",,"(u'DiCaprio, Leonardo', u'Frank Abagnale Jr.', 1, None) ",
"MOV Cats & Dogs (2001)","(u'Ficarra, Glenn', None, None, u' (written by)') ","(u'Guterman, Lawrence', None, None, None)" ",,"(u'Goldblum, Jeff', u'Professor Brody', 1, None) ",
"MOV Catwoman (2004)","(u'Brancato, John D.', None, None, u' (screenplay)') ","(u'Pitof', None, None, None)" ",,"(u'Berry, Halle', u'Patience Phillips/Catwoman', 1, None) ",
"MOV Cecil B. DeMented (2000)","(u'Waters, John (I)', None, None, u' (written by)')" ","(u'Waters, John (I)', None, None, None)" ",,"(u'Griffith, Melanie (I)', u'Honey Whitlock', 1, None) ",
"MOV Celebrity (1998)","(u'Allen, Woody', None, None, u' (written by)')" ","(u'Allen, Woody', None, None, None)" ",,"(u'Mottola, Greg', u'Director', 1, None) ",
"MOV The Cell (2000)","(u'Protosevich, Mark', None, None, u' (written by)')" ","(u'Singh, Tarsem', None, None, None)" ",,"(u'Lopez, Jennifer (I)', u'Catherine Deane', 1, None) ",
"MOV Cellular (2004)","(u'Cohen, Larry (I)', None, None, u' (story)') ","(u'Ellis, David R.', None, None, None)" ",,"(u'Aaron, Caroline', u'Marilyn Mooney', 1, None) ",
"MOV Central do Brasil (1998)","(u'Bernstein, Marcos', None, None, u' (writer)') ","(u'Salles, Walter', None, None, None)" ",,"(u'Montenegro, Fernanda', u'Isadora', 1, None) ",
"MOV Chacun cherche son chat (1996)","" ","" ",,"" ",
"MOV Chain Reaction (1996)","(u'Bortman, Michael', None, None, u' (screenplay)') ","(u'Davis, Andrew (I)', None, None, None)" ",,"(u'Reeves, Keanu', u'Eddie Kasalivich', 1, None) ",
"MOV Chain of Fools (2000)","" ","" ",,"" ",
"MOV Chairman of the Board (1998)","(u'Meyer, Turi', None, None, u' (screenplay)') ","(u'Zamm, Alex', None, None, None)" ",,"(u"Thompson, Scott 'Carrot Top'", u'Edison', 1, None) ",
"MOV The Chamber (1996)","(u'Goldman, William (I)', None, None, u' (screenplay)') ","(u'Foley, James (I)', None, None, None)" ",,"(u"O'Donnell, Chris (I)", u'Adam Hall', 1, None) ",
"MOV Changing Lanes (2002)","(u'Taylor, Chap', None, None, u' (screenplay)') ","(u'Michell, Roger (I)', None, None, None)" ",,"(u'Affleck, Ben', u'Gavin Banek', 1, None) ",
"MOV Charade (1963)","(u'Behm, Marc', None, None, u' (story)') ","(u'Donen, Stanley', None, None, None)" ",,"(u'Grant, Cary (I)', u'Peter Joshua', 1, None) ",
"MOV Chariots of Fire (1981)","(u'Welland, Colin', None, None, u' (original screenplay)')" ","(u'Hudson, Hugh', None, None, None)" ",,"(u'Farrell, Nicholas', u'Aubrey Montague', 1, None) ",
